labels,c11,c12,c13,c21,c22,c23,c31,c32,c33
samples,x1,x2,x3,x1,x2,x3,x1,x2,x3
1,1.58,2.32,-5.8,0.21,0.03,-2.21,-1.54,1.17,0.64
2,0.67,1.58,-4.78,0.37,0.28,-1.8,5.41,3.45,-1.33
3,1.04,1.01,-3.63,0.18,1.22,0.16,1.55,0.99,2.69
4,-1.49,2.18,-1.39,-0.24,0.93,-1.01,1.86,3.19,1.51
5,-0.41,1.21,-4.37,-1.18,0.39,-0.39,1.68,1.79,-0.87
6,1.39,3.16,2.87,0.74,0.96,-1.16,3.51,-0.22,-1.39
7,1.2,1.4,-1.89,-0.38,1.94,-0.48,1.4,-0.44,0.92
8,-0.92,1.44,-3.22,0.02,0.72,-0.17,0.44,0.83,1.97
9,0.45,1.33,-4.38,0.44,1.31,-0.14,0.25,0.68,-0.99
10,-0.76,0.84,-1.96,0.46,1.49,0.68,-0.66,-0.45,0.08
